,startstationid,startstationname,startstationlongitude,startstationlatitude,startcount,startnumber
0,3241,Monroe St & Tompkins Ave,-73.944694,40.686203000000006,13,1
1,3242,Schermerhorn St & Court St,-73.99183362722397,40.69102925677968,15,2
2,255,NYCBS Depot - SSP,-74.01651,40.646768,15,3
3,271,Ashland Pl & Hanson Pl,-73.97800147533417,40.685226719472546,38,4
4,3133,E 67 St & Park Ave,-73.96493528,40.76735637,60,5
5,3120,Center Blvd & Borden Ave,-73.96044,40.741609999999994,169,6
6,3237,21 St & 41 Ave,-73.94267678260802,40.75383343437622,257,7
7,3138,E 77 St & Park Ave,-73.96175265312193,40.774405455003,274,8
8,3014,E.T. Bike-In Movie Valet Station ,-73.959114,40.722852,315,9
9,3130,21 St & Queens Plaza North,-73.94335788,40.75325964,351,10
